പോലെ pole as
ഭൂമി bhoomi earth
പിതാവ് pithaav father
എന്തെങ്കിലും enthenkilum any
പുതിയ puthiya new
വേല vela work
ഭാഗം bhaagam part
എടുക്കുക etukkuka take
തെരഞ്ഞെടുക്കപ്പെട്ടതാണ് theranjetukkappettathaan get
സ്ഥലം sthalam place
ഉണ്ടാക്കി undaakki made
ജീവിക്കുക jeevikkuka live
എവിടെ evite where
ശേഷം shesham after
തിരികെ thirike back
മാത്രം maathram only
ചുറ്റും chuttum round
മനുഷ്യൻ manushyan man
വര്ഷം varsham year
വന്നു vannu came
കാണിക്കുക kaanikkuka show
നല്ല nalla good
എന്നോട് ennot me
കൊടുക്കുക kotukkuka give
നമ്മുടെ nammute our
കീഴെ keezhe under
പേര് per name
വളരെ valare very
മുഖാന്തിരം mukhaanthiram through
വെറും verum just
രൂപം roopam form
വിധി vidhi sentence
മഹത്തായ mahatthaaya great
ചിന്തിക്കുക chinthikkuka think
പറയുക parayuka say
സഹായം sahaayam help
കുറഞ്ഞ kuranja low
ഭിന്നത bhinnatha differ
വളവ് valav turn
കാരണം kaaranam cause
അർത്ഥമാക്കുന്നത് arththamaakkunnath mean
മുമ്പ് mumpu before
നീക്കുക neekkuka move
വലത് valath right
കുട്ടി kutti boy
പഴയ pazhaya old
കൂടി kooti too
ഒരേ ore same
അവള് aval she
എല്ലാം ellaam all
അവിടെ avite there
എപ്പോൾ eppol when
ഉപയോഗം upayogam use
നിങ്ങളുടെ ningalute your
വഴി vazhi way
കുറിച്ച് kuricchu about
അപ്പോള് appol then
അവരെ avare them
എഴുതുക ezhuthuka write
അതുപോലെ athupole so
നീളമുള്ള neelamulla long
ഉണ്ടാക്കുക undaakkuka make
വസ്തു vasthu thing
കാണുക kaanuka see
അവനെ avane him
രണ്ട് randu two
നോക്കുക nokkuka look
കൂടുതൽ kootuthal more
ദിവസം divasam day
കഴിഞ്ഞില്ല kazhinjilla could
വരിക varika come
ചെയ്തു cheythu did
അക്കം akkam number
ശബ്ദം shabdam sound
ഇല്ല illa no
ഏറ്റവും ettavum most
ജനം janam people
എന്റെ ente my
അറിയുക ariyuka know
വെള്ളം vellam water
അധികം adhikam than
വിളി vili call
ആദ്യം aadyam first
ആര് aar who
മേയ് mey may
ഇറങ്ങി irangi down
വശം vasham side
ഉണ്ടായിരുന്നതു undaayirunnathu been
ഇപ്പോള് ippol now
കണ്ടെത്തുക kandetthuka find
സ്റ്റാൻഡ് sttaand stand
സ്വന്തം svantham own
പേജ് pej page
വേണം venam should
രാജ്യം raajyam country
കണ്ടെത്തി kandetthi found
ഉത്തരം uttharam answer
സ്കൂൾ skool school
വളരും valarum grow
പഠിക്കുക padtikkuka study
ഇപ്പോഴും ippozhum still
പഠിക്കാൻ padtikkaan learn
ചെടി cheti plant
മൂടി mooti cover
ഭക്ഷണം bhakshanam food
സൂര്യൻ sooryan sun
നാല് naal four
ഇടയില് itayil between
അവസ്ഥ avastha state
സൂക്ഷിക്കുക sookshikkuka keep
കണ്ണ് kannu eye
ഒരിക്കലും orikkalum never
കഴിഞ്ഞ kazhinja last
ചിന്ത chintha thought
നഗരം nagaram city
മരം maram tree
കുരിശ് kurish cross
ഫാം phaam farm
ഹാർഡ് haard hard
തുടക്കം thutakkam start
ശക്തി shakthi might
കണ്ടു kandu saw
ഇതുവരെ ithuvare far
കടല് katal sea
വര്ണിക്കുക varnikkuka draw
ഇടത്തെ itatthe left
വൈകി vyki late
ഓട്ടം ottam run
ചെയ്യരുത് cheyyaruth don't
സമയത്ത് samayatthu while
അമർത്തുക amartthuka press
അടയ്ക്കുക ataykkuka close
രാത്രി raathri night
യഥാർത്ഥ yathaarththa real
ജീവന് jeevan life
വടക്ക് vatakku north
പുസ്തകം pusthakam book
കൊണ്ടുപോകും kondupokum carry
എടുത്തു etutthu took
ശാസ്ത്രം shaasthram science
ഇടം itam room
സ്നേഹിതന് snehithan friend
തുടങ്ങി thutangi began
ആശയം aashayam idea
മത്സ്യം mathsyam fish
പര്വ്വതം parvvatham mountain
നിർത്തുക nirtthuka stop
ഒരിക്കല് orikkal once
അടിത്തറ atitthara base
കേള്ക്കുക kelkkuka hear
കുതിര kuthira horse
മുറിക്കുക murikkuka cut
ഉറപ്പാണോ urappaano sure
കാവൽ kaaval watch
നിറം niram color
മുഖം mukham face
പ്രധാന pradhaana main
തുറക്കുക thurakkuka open
തോന്നുക thonnuka seem
ഒന്നിച്ച് onnicchu together
അടുത്തത് atutthath next
വെളുത്ത veluttha white
മക്കൾ makkal children
ആരംഭിക്കുന്നു aarambhikkunnu begin
കിട്ടി kitti got
നടക്കുക natakkuka walk
ഉദാഹരണം udaaharanam example
എളുപ്പമുണ്ടായിരിക്കും eluppamundaayirikkum ease
കടലാസ് katalaas paper
ഗ്രൂപ്പ് grooppu group
എല്ലായിപ്പോഴും ellaayippozhum always
സംഗീതം samgeetham music
രണ്ടും randum both
അടയാളം atayaalam mark
അടിക്കടി atikkati often
അക്ഷരം aksharam letter
വരെ vare until
നാഴിക naazhika mile
നദി nadi river
കാര് kaar car
കാൽ kaal feet
സംരക്ഷണം samrakshanam care
സെക്കന്റ് sekkantu second
മതി mathi enough
പ്ലെയിൻ pleyin plain
പെണ്കുട്ടി penkutti girl
സാധാരണമായ saadhaaranamaaya usual
ഇളം ilam young
തയ്യാറായ thayyaaraaya ready
മുകളിൽ mukalil above
എപ്പോഴും eppozhum ever
ചുവപ്പ് chuvappu red
പട്ടിക pattika list
ആയാലും aayaalum though
സ്പര്ശിക്കുക sparshikkuka feel
സംവാദം samvaadam talk
പക്ഷി pakshi bird
പെട്ടെന്ന് pettennu soon
ശരീരം shareeram body
നായ് naay dog
കുടുംബം kutumbam family
നേരായ neraaya direct
ഭാവം bhaavam pose
വിട്ടേക്കുക vittekkuka leave
പാട്ട് paattu song
അളവ് alav measure
വാതില് vaathil door
ഉത്പന്നം uthpannam product
കറുത്ത karuttha black
കുറിയ kuriya short
സംഖ samkha numeral
ക്ലാസ് klaas class
കാറ്റ് kaattu wind
ചോദ്യം chodyam question
സംഭവിക്കുക sambhavikkuka happen
പൂർണ്ണമായ poornnamaaya complete
കപ്പല് kappal ship
പ്രദേശം pradesham area
പകുതി pakuthi half
പാറ paara rock
ഓർഡർ ordar order
തെക്ക് thekku south
പ്രശ്നം prashnam problem
കഷണം kashanam piece
അറിഞ്ഞു arinju knew
ചുരം churam pass
പിന്നീട് pinneet since
മുഴുവൻ muzhuvan whole
രാജാവ് raajaav king
തെരുവ് theruv street
ഇഞ്ച് inchu inch
പെരുക്കുക perukkuka multiply
ഒന്നും onnum nothing
ഗതി gathi course
താമസിക്കാൻ thaamasikkaan stay
ചക്രം chakram wheel
നിറഞ്ഞ niranja full
നീല neela blue
തീരുമാനിക്കുക theerumaanikkuka decide
ഉപരിതലം uparithalam surface
ആഴമുള്ള aazhamulla deep
ചന്ദ്രൻ chandran moon
ദ്വീപ് dveep island
പാദം paadam foot
സിസ്റ്റം sisttam system
തിരക്ക് thirakku busy
പരിശോധന parishodhana test
രേഖ rekha record
വള്ളം vallam boat
പൊതുവായ pothuvaaya common
സ്വർണം svarnam gold
സാധ്യത saadhyatha possible
വിമാനം vimaanam plane
പകരം pakaram stead
ഉണങ്ങിയ unangiya dry
വിസ്മയം vismayam wonder
ചിരിക്കുക chirikkuka laugh
ആയിരം aayiram thousand
മുന്പ് munp ago
ത്ത് tthu ran
ആകൃതി aakruthi shape
ആക്കുമോ aakkumo equate
നഷ്ടപ്പെടുക nashtappetuka miss
കൊണ്ടുവന്നു konduvannu brought
ചൂട് choot heat
മഞ്ഞ് manju snow
ക്ഷീണം ksheenam tire
കൊണ്ടുവരിക konduvarika bring
അതെ athe yes
ദൂരെയുള്ള dooreyulla distant
നിറയ്ക്കുക niraykkuka fill
കിഴക്ക് kizhakku east
ചായം chaayam paint
ഭാഷ bhaasha language
കൂട്ടത്തില് koottatthil among
ഘടകം ghatakam unit
പട്ടണം pattanam town
പിഴ pizha fine
ചില chila certain
ഈച്ച eeccha fly
വീഴ്ച veezhcha fall
ഈയം eeyam lead
നിലവിളി nilavili cry
ഇരുണ്ട irunda dark
യന്ത്രം yanthm machine
കുറിപ്പ് kurippu note
കാക്കുക kaakkuka wait
പദ്ധതി paddhathi plan
ചിത്രം chithram figure
നക്ഷത്ര nakshathra star
പെട്ടി petti box
നാമം naamam noun
മണ്ഡലം mandalam field
ബാക്കി baakki rest
ശരിയായ shariyaaya correct
കഴിവുള്ള kazhivulla able
റാത്തല് raatthal pound
പൂർത്തിയായി poortthiyaayi done
സൗന്ദര്യം saundaryam beauty
ഡ്രൈവ് dryv drive
നിന്നു ninnu stood
അടങ്ങിയിട്ടുണ്ട് atangiyittundu contain
ഫ്രണ്ട് phrandu front
പഠിപ്പിക്കുക padtippikkuka teach
ആഴ്ച aazhcha week
ഫൈനലിൽ phynalil final
കൊടുത്തു kotutthu gave
പച്ചയായ pacchayaaya green
പെട്ടെന്നുള്ള pettennulla quick
വികസിപ്പിക്കുക vikasippikkuka develop
സമുദ്രം samudram ocean
ഊഷ്മള ooshmala warm
സ്വതന്ത്ര svathanth free
മിനിറ്റ് minittu minute
ശക്തമായ shakthamaaya strong
പ്രത്യേക prathyeka special
മനസ്സ് manasu mind
പിന്നാലെ pinnaale behind
തെളിഞ്ഞ thelinja clear
വാല് vaal tail
ഉൽപ്പാദിപ്പിക്കുക ulppaadippikkuka produce
വസ്തുത vasthutha fact
കേട്ടു kettu heard
മികച്ച mikaccha best
മണിക്കൂര് manikkoor hour
മെച്ചപ്പെട്ട mecchappetta better
സത്യം sathyam true
കാലത്ത് kaalatthu during
നൂറ് noor hundred
അഞ്ച് anchu five
സ്മരിക്കുക smarikkuka remember
ചുവട് chuvat step
നേരത്തെയുള്ള nerattheyulla early
പിടിക്കുക pitikkuka hold
പടിഞ്ഞാറ് patinjaar west
നിലത്തു nilatthu ground
പലിശ palisha interest
എത്താൻ etthaan reach
ഉപവാസം upavaasam fast
ക്രിയ kriya verb
പാടുക paatuka sing
കേൾക്കാൻ kelkkaan listen
ആറ് aar six
യാത്രാ yaathraa travel
കുറവ് kurav less
രാവിലെ raavile morning
പത്ത് patthu ten
ലഘുവായ laghuvaaya simple
നിരവധി niravadhi several
സരം saram vowel
നേരെ nere toward
യുദ്ധം yuddham war
കിടന്നു kitannu lay
എതിരായി ethiraayi against
മാതൃക maathruka pattern
സ്ലോ slo slow
കേന്ദ്രം kendram center
സ്നേഹം sneham love
വ്യക്തി vyakthi person
പണം panam money
സേവിക്കുക sevikkuka serve
ദൃശ്യമാകും drushyamaakum appear
റോഡ് rod road
ഭൂപടം bhoopatam map
ചട്ടം chattam rule
ഭരിക്കുക bharikkuka govern
വലിക്കുക valikkuka pull
തണുത്ത thanuttha cold
അറിയിപ്പ് ariyippu notice
ഊര്ജം oorjam energy
നായാട്ട് naayaattu hunt
സംഭാവമായ sambhaavamaaya probable
കിടക്ക kitakka bed
സഹോദരൻ sahodaran brother
മുട്ട mutta egg
കുതിരസവാരി kuthirasavaari ride
കോശം kosham cell
വിശ്വസിക്കുകയും vishvasikkukayum believe
ഒരുപക്ഷേ orupakshe perhaps
തിരഞ്ഞെടുക്കാവുന്നതാണ് thiranjetukkaavunnathaan pick
എണ്ണം ennam count
സമചതുരം samachathuram square
ദൈർഘ്യം dyrghyam length
പ്രതിനിധാനം prathinidhaanam represent
വിഷയം vishayam subject
വലുപ്പം valuppam size
വ്യത്യാസപ്പെടാം vyathyaasappetaam vary
സംസാരിക്കുക samsaarikkuka speak
ഭാരം bhaaram weight
കാര്യം kaaryam matter
വലയം valayam circle
ഉൾപ്പെടുന്നു ulppetunnu include
വീതിക്കുക veethikkuka divide
അക്ഷരങ്ങൾ aksharangal syllable
തോന്നി thonni felt
Grand grand grand
പന്ത് panthu ball
തിരമാല thiramaala wave
ഡ്രോപ്പ് droppu drop
ഹൃദയം hrudayam heart
സമ്മാനം sammaanam present
ഭാരമുള്ള bhaaramulla heavy
നൃത്തം nruttham dance
എഞ്ചിൻ enchin engine
സ്ഥാനം sthaanam position
ഭുജം bhujam arm
വീതിയുള്ള veethiyulla wide
കപ്പല്യാതചെയ്യുക kappalyaathacheyyuka sail
അംശം amsham fraction
കാട് kaat forest
ഇരുന്നു irunnu sit
ജാലകം jaalakam window
സ്റ്റോർ sttor store
വേനല്ക്കാലം venalkkaalam summer
തീവണ്ടി theevandi train
ഉറക്കം urakkam sleep
തെളിയിക്കുക theliyikkuka prove
കാല് kaal leg
വ്യായാമം vyaayaamam exercise
ചുവര് chuvar wall
മൌണ്ട് moundu mount
അഭിലാഷം abhilaasham wish
ആകാശം aakaasham sky
പലക palaka board
സന്തോഷം santhosham joy
ശീതകാലം sheethakaalam winter
എഴുതിയ ezhuthiya written
കാട്ടുപന്നി kaattupanni wild
ഉപകരണം upakaranam instrument
ആചരിച്ചു aacharicchu kept
ഗ്ലാസ് glaas glass
പുല്ല് pullu grass
പശു pashu cow
ജോലി joli job
അറ്റം attam edge
സന്ദര്ശനം sandarshanam visit
മൃദുവായ mruduvaaya soft
തമാശ thamaasha fun
തിളങ്ങുന്ന thilangunna bright
വാതകം vaathakam gas
കാലാവസ്ഥ kaalaavastha weather
മാസം maasam month
ദശലക്ഷം dashalaksham million
കരടി karati bear
തീര്ക്കുക theerkkuka finish
സന്തുഷ്ടമായ santhushtamaaya happy
പ്രത്യാശ prathyaasha hope
പൂവ് poov flower
ധരിപ്പിക്കും dharippikkum clothe
അസാധാരണമായ asaadhaaranamaaya strange
മാറിപ്പോയല്ലോ maarippoyallo gone
വ്യാപാരം vyaapaaram trade
മാധുരമായ maadhuramaaya melody
ട്രിപ്പ് trippu trip
ഓഫീസ് ophees office
ലഭിക്കും labhikkum receive
നിര nira row
വായ vaaya mouth
സൂക്ഷ്മമായ sookshmaaya exact
ചിഹ്നം chihnam symbol
മരിക്കുക marikkuka die
കുറഞ്ഞത് kuranjath least
കഷ്ടത kashtatha trouble
അലറുക alaruka shout
ഒഴികെ ozhike except
എഴുതി ezhuthi wrote
വിത്ത് vitthu seed
ഛായ chhaaya tone
ചേരാൻ cheraan join
വെടിപ്പുള്ള vetippulla clean
ബ്രേക്ക് brekku break
യുവതിയുടെ yuvathiyute lady
ഗജം gajam yard
വർധന vardhana rise
ചീത്ത cheettha bad
അടിക്കുക atikkuka blow
എണ്ണ enna oil
രക്തം raktham blood
ടച്ച് tacchu touch
വളർന്നു valarnnu grew
ശതമാനം shathamaanam cent
കൂട്ടിക്കലര്ത്തുക koottikkalartthuka mix
ടീം teem team
കന്വി kanvi wire
വില vila cost
നഷ്ടപ്പെട്ട nashtappetta lost
തവിട്ട് thavittu brown
ധരിക്കാൻ dharikkaan wear
തോട്ടം thottam garden
അയച്ചു ayacchu sent
തിരഞ്ഞെടുക്കുക thiranjetukkuka choose
അസ്വസ്ഥനായിരുന്നു asvasthanaayirunnu fell
യോജമാക്കുക yojamaakkuka fit
ഒഴുക്ക് ozhukku flow
മേള mela fair
ബാങ്ക് baanku bank
ശേഖരിക്കുക shekharikkuka collect
അല്ലാതെ allaathe save
നിയന്ത്രണം niyanthnam control
ദശാംശ dashaamsha decimal
ചെവി chevi ear
മറ്റാരെങ്കിലും mattaarenkilum else
തികച്ചും thikacchum quite
തകർത്തുകളഞ്ഞു thakartthukalanju broke
കേസ് kes case
മദ്ധ്യ maddh middle
കൊല്ലുക kolluka kill
മകൻ makan son
തടാകം thataakam lake
നിമിഷം nimisham moment
സ്കെയിൽ skeyil scale
ഉച്ചത്തിലുള്ള ucchatthilulla loud
അരുവി aruvi spring
നിരീക്ഷിക്കുക nireekshikkuka observe
ഋജുവായത് rujuvaayath straight
വഞ്ജനാക്ഷരം vanjjanaaksharam consonant
ജാതി jaathi nation
നിഘണ്ടു nighandu dictionary
പാൽ paal milk
വേഗം vegam speed
രീതി reethi method
ശരീരാവയവം shareeraavayavam organ
കൂലി kooli pay
പ്രായം praayam age
വിഭാഗം vibhaagam section
ഉടുക്കുക utukkuka dress
മേഘം megham cloud
സർപ്രൈസ് sarprys surprise
മിണ്ടാതിരിപ്പാൻ mindaathirippaan quiet
കല്ല് kallu stone
തീരെച്ചെറിയ theereccheriya tiny
കയറുക kayaruka climb
അടിപൊളി atipoli cool
ഡിസൈന് disyn design
പാവപ്പെട്ട paavappetta poor
ചീട്ടു cheettu lot
പരീക്ഷണം pareekshanam experiment
അടിത്തട്ട് atitthattu bottom
ഇരുമ്പ് irumpu iron
ഒറ്റ otta single
വടി vati stick
പരന്ന paranna flat
ഇരുപത് irupath twenty
തൊലി tholi skin
പുഞ്ചിരി punchiri smile
ക്രീസിൽ kreesil crease
തുള thula hole
കുതിക്കുക kuthikkuka jump
ശിശു shishu baby
എട്ട് ettu eight
ഗ്രാമം graamam village
സംഗമം samgamam meet
വേര് ver root
വാങ്ങുക vaanguka buy
ഉളവാക്കുവാൻ ulavaakkuvaan raise
പരിഹരിക്കാൻ pariharikkaan solve
ലോഹം loham metal
എന്ന് ennu whether
തള്ളുക thalluka push
ഏഴ് ezh seven
ഖണ്ഡിക khandika paragraph
മൂന്നാമത്തെ moonnaamatthe third
തലമുടി thalamuti hair
വിവരിക്കുക vivarikkuka describe
പാചകക്കാരന് paachakakkaaran cook
ഒന്നുകിൽ onnukil either
ഫലം phalam result
കത്തിക്കുക katthikkuka burn
കുന്ന് kunnu hill
സുരക്ഷിതമായ surakshithamaaya safe
പൂച്ച pooccha cat
നൂറ്റാണ്ട് noottaandu century
പരിഗണിക്കുക pariganikkuka consider
ടൈപ്പ് ചെയ്യുക typpu cheyyuka type
നിയമം niyamam law
ബിറ്റ് bittu bit
തീരം theeram coast
പകര്പ്പ് pakarppu copy
ശൈലി shyli phrase
നിശ്ശബ്ദമായ nishabdamaaya silent
പൊക്കമുള്ള pokkamulla tall
മണല് manal sand
മണ്ണ് mannu soil
ഉരുളുക uruluka roll
താപനില thaapanila temperature
വിരല് viral finger
വ്യവസായം vyavasaayam industry
നുണ nuna lie
അടി ati beat
ഉണര്ത്തുക unartthuka excite
പ്രകൃതി prakruthi natural
കാഴ്ച kaazhcha view
അർഥത്തിൽ arthatthil sense
തലസ്ഥാനം thalasthaanam capital
മനസ്സില്ല manasilla won’t
കസേര kasera chair
അപായം apaayam danger
പഴം pazham fruit
സമ്പന്നമായ sampannamaaya rich
കട്ടിയുള്ള kattiyulla thick
സൈനികന്റെ synikante soldier
പ്രക്രിയ prakriya process
ഓപ്പറേറ്റ് opparettu operate
പരിശീലനം parisheelanam practice
പ്രയാസമാണ് prayaasamaan difficult
ഡോക്ടര് doktar doctor
ദയവായി dayavaayi please
സംരക്ഷിക്കുക samrakshikkuka protect
ഉച്ചയ്ക്ക് ucchaykku noon
വിളവ് vilav crop
ആധുനികമായ aadhunikamaaya modern
മൂലകം moolakam element
തല്ലുക thalluka hit
വിദ്യാർത്ഥി vidyaarththi student
മൂല moola corner
കക്ഷി kakshi party
വിതരണം vitharanam supply
ആരുടെ aarute whose
കണ്ടുപിടിക്കുക kandupitikkuka locate
വളയം valayam ring
പ്രതീകം pratheekam character
പുഴു puzhu insect
പിടിച്ചു piticchu caught
കാലഘട്ടം kaalaghattam period
സൂചിപ്പിക്കുക soochippikkuka indicate
റേഡിയോ rediyo radio
സ്പോക് spok spoke
പരമാണു paramaanu atom
മാനുഷികമായ maanushikamaaya human
ചരിത്രം charithram history
വൈദ്യുത vydyutha electric
പ്രതീക്ഷ pratheeksha expect
അസ്ഥി asthi bone
റെയിൽ reyil rail
സങ്കൽപ്പിക്കാൻ sankalppikkaan imagine
നൽകുന്നതിന് nalkunnathin provide
സമ്മതിക്കുക sammathikkuka agree
ഇങ്ങനെ ingane thus
ശാന്തനും shaanthanum gentle
സ്ത്രീ sthree woman
നായകൻ naayakan captain
ഊഹിക്കുക oohikkuka guess
ആവശ്യമായ aavashyamaaya necessary
കൂര്ത്ത koorttha sharp
ചിറക് chirak wing
സൃഷ്ടിക്കുക srushtikkuka create
കൂട്ടുകാരനെ koottukaarane neighbor
കഴുകുക kazhukuka wash
ബാറ്റ് baattu bat
അധികമായി adhikamaayi rather
കൂട്ടം koottam crowd
ചോളം cholam corn
താരതമ്യം thaarathamyam compare
കവിത kavitha poem
സ്ട്രിംഗ് strimg string
മണി mani bell
ആശ്രയിച്ചിരിക്കുന്നു aashrayicchirikkunnu depend
മാംസം maamsam meat
തടവുക thatavuka rub
കുഴല് kuzhal tube
പേരുകേട്ട peruketta famous
ഡോളറിന് dolarin dollar
സ്ട്രീം streem stream
ഭയം bhayam fear
കനംകുറഞ്ഞ kanamkuranja thin
തികോണം thikonam triangle
ഗ്രഹം graham planet
ധൃതികൂട്ടുക dhruthikoottuka hurry
നേതാവ് nethaav chief
കോളനി kolani colony
ഘടികാരം ghatikaaram clock
നൽകുക nalkuka enter
തിരയൽ thirayal search
അയയ്ക്കുക ayaykkuka send
മഞ്ഞ manja yellow
നോക്ക് nokku gun
അനുവദിക്കുക anuvadikkuka allow
അച്ചടിക്കുക acchatikkuka print
മരിച്ച mariccha dead
പുള്ളി pulli spot
മരുഭൂമിയിൽ marubhoomiyil desert
വസ്തം vastham suit
നിലവിലെ nilavile current
ലിഫ്റ്റ് liphttu lift
പനിനീര്പ്പൂവ് panineerppoov rose
എത്തും etthum arrive
യജമാനന് yajamaanan master
പാത paatha track
പാരന്റ് paarantu parent
ഡിവിഷൻ divishan division
ഷീറ്റ് sheettu sheet
സമ്പത്തു sampatthu substance
അനുഗ്രഹം anugraham favor
കണക്ട് kanakt connect
ചെലവഴിക്കുകയും chelavazhikkukayum spend
ശബ്ദവലയം shabdavalayam chord
കൊഴുപ്പ് kozhuppu fat
സന്തോഷിച്ചു santhoshicchu glad
പങ്കിടുക pankituka share
സ്റ്റേഷൻ stteshan station
അച്ഛന് achchhan dad
റൊട്ടി rotti bread
ചാർജ്ജ് chaarjju charge
ബാർ baar bar
വാഗ്ദാനം vaagdaanam offer
സെഗ്മെന്റ് segmentu segment
അടിമ atima slave
ഡക്ക് dakku duck
തൽക്ഷണ thalkshana instant
വിപണി vipani market
ബിരുദം birudam degree
ജനപ്രിയമാക്കുന്നതിന് janapriyamaakkunnathin populate
കൊഴി kozhi chick
പ്രിയ priya dear
ശത്രു shathru enemy
മറുപടി marupati reply
പാനീയം paaneeyam drink
പിന്തുണ pinthuna support
മൊഴി mozhi speech
പരിധി paridhi range
ആവി aavi steam
ചലനം chalanam motion
ദ്രാവക draavaka liquid
ഉദ്ദേശിച്ചത് uddheshicchath meant
ഘടകഗ്രൂപ്പുകൾ ghatakagrooppukal quotient
പല്ലുകൾ pallukal teeth
ഷെൽ shel shell
കഴുത്ത് kazhutthu neck
ഓക്സിജൻ oksijan oxygen
പഞ്ചസാര panchasaara sugar
മരണം maranam death
പ്രെറ്റി pretti pretty
നൈപുണ്യ nypunya skill
സ്ത്രീകൾ sthreekal women
പരിഹാരം parihaaram solution
കാന്തം kaantham magnet
വെള്ളി velli silver
നന്ദിപറയുക nandiparayuka thank
ശാഖ shaakha branch
മത്സരം mathsaram match
പ്രത്യയം prathyayam suffix
വിശേഷാല് visheshaal especially
അത്തിപ്പഴം atthippazham fig
ഭയപ്പെട്ടു bhayappettu afraid
സഹോദരി sahodari sister
ഉരുക്ക് urukku steel
ചർച്ച charccha discuss
മുന്നോട്ട് munnottu forward
സമാനമായ samaanamaaya similar
വഴികാട്ടി vazhikaatti guide
പരിചയം parichayam experience
സ്കോർ skor score
ആപ്പിൾ aappil apple
വാങ്ങിയ vaangiya bought
എൽഇഡി elidi led
പിച്ച് picchu pitch
അങ്കി anki coat
പിണ്ഡം pindam mass
കാർഡ് kaard card
കയര് kayar rope
അടിവസ്തം ativastham slip
വിജയം vijayam win
സ്വപ്നം svapnam dream
വൈകുന്നേരം vykunneram evening
തീറ്റ theetta feed
മൊത്തം mottham total
അടിസ്ഥാനപരമായ atisthaanaparamaaya basic
മണം manam smell
താഴ്വര thaazhvara valley
അരുതു aruthu nor
ഇരട്ട iratta double
ഇരിപ്പിടം irippitam seat
തുടരുക thutaruka continue
ബ്ലോക്ക് blokku block
ചാർട്ട് chaarttu chart
തൊപ്പി thoppi hat
വിറ്റു vittu sell
സംഘം samgham company
കുറയ്ക്കുക kuraykkuka subtract
സംഭവം sambhavam event
കരാര് karaar deal
നീന്തുക neenthuka swim
കാലാവധി kaalaavadhi term
സമ്മുഖ sammukha opposite
ഭാര്യ bhaarya wife
ചെരുപ്പ് cheruppu shoe
തോളിൽ tholil shoulder
വിരിക്കുക virikkuka spread
കമീകരിക്കുക kameekarikkuka arrange
പാളയം paalayam camp
കെട്ടിയുണ്ടാക്കുകയുമാണ് kettiyundaakkukayumaan invent
പരുത്തി parutthi cotton
ജനിച്ച janiccha born
നല്ലൊരു nalloru quart
ഒന്പത് onpath nine
വണ്ടി vandi truck
നില nila level
അവസരം avasaram chance
ശേഖരിച്ചു shekharicchu gather
പരത്തുക paratthuka stretch
എറിയുക eriyuka throw
തിളക്കം thilakkam shine
യോഗ്യത yogyatha property
കോളം kolam column
തന്മാത്ര thanmaathra molecule
തെരഞ്ഞെടുക്കുക theranjetukkuka select
തെറ്റായ thettaaya wrong
ചാര chaara gray
ആവര്ത്തിക്കുക aavartthikkuka repeat
വിശാലമായ vishaalamaaya broad
ഒരുക്കും orukkum prepare
ഉപ്പ് uppu salt
മൂക്ക് mookku nose
